trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",25,15,12.649597425585823,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",25,18,13.113601521248867,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.03079145908246612}",20,9,21.15057535111558,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.020794827803092428}",20,10,18.75430227563666,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.010796117058267392}",20,10,19.2011187253496,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.0007963267107332633}",25,3,33.443091233652794,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,10,29.936030028058273,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",30,17,22.462348812478023,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,8,22.917492176591907,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,1,20.674356615648954,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,16,18.57962173195168,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,7,31.31376755314613,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,26.68876215088953,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,17,14.194918533973071,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,14,10.447356968300268,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,18,23.73654429554857,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.0, 'e': 0.0}",20,4,20.29829704038102,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0.0, 'e': 0.0}",25,2,30.857458367766085,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.0, 'e': 0.0}",25,10,27.988241381389326,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.0, 'e': 0.0}",25,8,29.670433614655288,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0.0, 'e': 0.0}",20,6,23.894249720970407,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0.0, 'e': 0.0}",25,8,27.45984265452204,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0.0, 'e': 0.0}",25,12,16.30626267448546,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0.0, 'e': 0.0}",20,11,16.535903186486852,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0.0, 'e': 0.0}",20,9,14.415296398662274,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0.0, 'e': 0.0}",25,13,18.782195959658612,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0.0, 'e': 0.0}",35,28,15.069617591457085,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0.0, 'e': 0.0}",20,10,12.8720085451661,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0.0, 'e': 0.0}",35,22,21.343427876526853,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0.0, 'e': 0.0}",20,6,24.304940016254662,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0.0, 'e': 0.0}",20,16,6.608921432270311,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0.0, 'e': 0.0}",25,1,33.725793669370105,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0.0, 'e': 0.0}",20,3,27.992525974349366,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0.0, 'e': 0.0}",20,5,20.881849988411435,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0.0, 'e': 0.0}",20,14,8.829269880549852,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0.0, 'e': 0.0}",20,12,14.916282505565148,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'a': 0.0, 'e': 0.0}",20,8,20.30126053220019,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,True,"{'a': 0.0, 'e': 0.0}",30,13,28.93649676527448,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,True,"{'a': 0.0, 'e': 0.0}",20,0,25.273335967982877,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,True,"{'a': 0.0, 'e': 0.0}",25,17,14.41560657543319,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,True,"{'a': 0.0, 'e': 0.0}",30,4,37.840202305552864,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,True,"{'a': 0.0, 'e': 0.0}",20,13,11.725838856962609,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,True,"{'a': 0.0, 'e': 0.0}",20,8,22.206193977877764,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'a': 0.0, 'e': 0.0}",35,17,28.006550360995448,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,True,"{'a': 0.0, 'e': 0.0}",20,12,15.577639856270892,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,True,"{'a': 0.0, 'e': 0.0}",30,24,15.07235842817802,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,True,"{'a': 0.0, 'e': 0.0}",35,19,31.501596711228096,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,True,"{'a': 0.0, 'e': 0.0}",20,16,7.741323959080452,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,True,"{'a': 0.0, 'e': 0.0}",20,11,17.715553065387674,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,True,"{'a': 0.0, 'e': 0.0}",25,7,29.18675396802121,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,True,"{'a': 0.0, 'e': 0.0}",25,7,32.15283237024205,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,True,"{'a': 0.0, 'e': 0.0}",25,3,36.22946986271599,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,True,"{'a': 0.0, 'e': 0.0}",20,14,11.296012371680105,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,True,"{'a': 0.0, 'e': 0.0}",35,19,31.70712373063507,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,True,"{'a': 0.0, 'e': 0.0}",25,8,23.00655141300967,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,True,"{'a': 0.0, 'e': 0.0}",25,14,16.652548099555087,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,True,"{'a': 0.0, 'e': 0.0}",20,8,18.081281491158034,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,True,"{'a': 0.0, 'e': 0.0}",20,6,28.322182748193534,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,True,"{'a': 0.0, 'e': 0.0}",20,10,16.605297497183578,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,True,"{'a': 0.0, 'e': 0.0}",25,15,22.076295304979432,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,True,"{'a': 0.0, 'e': 0.0}",30,12,26.20907378594324,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,True,"{'a': 0.0, 'e': 0.0}",25,11,22.58751257344282,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,True,"{'a': 0.0, 'e': 0.0}",20,12,14.698815143051482,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,True,"{'a': 0.0, 'e': 0.0}",20,8,23.919458270472354,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,True,"{'a': 0.0, 'e': 0.0}",25,6,25.69266391055594,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,True,"{'a': 0.0, 'e': 0.0}",20,11,15.15489116862732,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,True,"{'a': 0.0, 'e': 0.0}",20,12,14.572070621087983,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,True,"{'a': 0.0, 'e': 0.0}",20,10,17.075981308025078,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,True,"{'a': 0.0, 'e': 0.0}",25,9,23.406449238635528,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,True,"{'a': 0.0, 'e': 0.0}",30,20,18.053255539313618,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,True,"{'a': 0.0, 'e': 0.0}",25,8,31.107255608135404,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,True,"{'a': 0.0, 'e': 0.0}",30,12,23.04495882521121,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,True,"{'a': 0.0, 'e': 0.0}",30,20,20.667783789346526,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,True,"{'a': 0.0, 'e': 0.0}",30,13,32.39851476885251,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,True,"{'a': 0.0, 'e': 0.0}",25,17,15.109188063844643,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,True,"{'a': 0.0, 'e': 0.0}",30,16,28.241099885702972,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,True,"{'a': 0.0, 'e': 0.0}",25,12,23.63708453237868,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,True,"{'a': 0.0, 'e': 0.0}",30,12,32.89171603266036,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,True,"{'a': 0.0, 'e': 0.0}",25,9,25.527100612427027,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,True,"{'a': 0.0, 'e': 0.0}",30,21,17.61695725825881,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,True,"{'a': 0.0, 'e': 0.0}",20,6,24.008906038883065,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,True,"{'a': 0.0, 'e': 0.0}",25,13,15.130989935356197,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,True,"{'a': 0.0, 'e': 0.0}",20,8,25.33374484978313,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,True,"{'a': 0.0, 'e': 0.0}",20,12,14.403338867736053,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,True,"{'a': 0.0, 'e': 0.0}",25,15,21.084687161655058,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,True,"{'a': 0.0, 'e': 0.0}",25,11,27.051338626607993,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,True,"{'a': 0.0, 'e': 0.0}",20,9,18.996527835018526,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,True,"{'a': 0.0, 'e': 0.0}",30,19,23.037987929986585,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,True,"{'a': 0.0, 'e': 0.0}",25,15,22.694077917328535,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,True,"{'a': 0.0, 'e': 0.0}",20,6,29.243645679407873,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,True,"{'a': 0.0, 'e': 0.0}",20,10,18.473826759594083,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,True,"{'a': 0.0, 'e': 0.0}",25,15,20.99570095028621,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
